usia,berat,tinggi,leher,dada,perut,pinggul,paha,lutut,pk,bisep,lb,pt,lemak
23,154.25,67.75,36.2,93.1,85.2,94.5,59,37.3,21.9,32,27.4,17.1,12.3
22,173.25,72.25,38.5,93.6,83,98.7,58.7,37.3,23.4,30.5,28.9,18.2,6.1
22,154,66.25,34,95.8,87.9,99.2,59.6,38.9,24,28.8,25.2,16.6,25.3
26,184.75,72.25,37.4,101.8,86.4,101.2,60.1,37.3,22.8,32.4,29.4,18.2,10.4
24,184.25,71.25,34.4,97.3,100,101.9,63.2,42.2,24,32.2,27.7,17.7,28.7
24,210.25,74.75,39,104.5,94.4,107.8,66,42,25.6,35.7,30.6,18.8,20.9
26,181,69.75,36.4,105.1,90.7,100.3,58.4,38.3,22.9,31.9,27.8,17.7,19.2
25,176,72.5,37.8,99.6,88.5,97.1,60,39.4,23.2,30.5,29,18.8,12.4
25,191,74,38.1,100.9,82.5,99.9,62.9,38.3,23.8,35.9,31.1,18.2,4.1
23,198.25,73.5,42.1,99.6,88.6,104.1,63.1,41.7,25,35.6,30,19.2,11.7
26,186.25,74.5,38.5,101.5,83.6,98.2,59.7,39.7,25.2,32.8,29.4,18.5,7.1
27,216,76,39.4,103.6,90.9,107.7,66.2,39.2,25.9,37.2,30.2,19,7.8
32,180.5,69.5,38.4,102,91.6,103.9,63.4,38.3,21.5,32.5,28.6,17.7,20.8
30,205.25,71.25,39.4,104.1,101.8,108.6,66,41.5,23.7,36.9,31.6,18.8,21.2
35,187.75,69.5,40.5,101.3,96.4,100.1,69,39,23.1,36.1,30.5,18.2,22.1
35,162.75,66,36.4,99.1,92.8,99.2,63.1,38.7,21.7,31.1,26.4,16.9,20.9
34,195.75,71,38.9,101.9,96.4,105.2,64.8,40.8,23.1,36.2,30.8,17.3,29
32,209.25,71,42.1,107.6,97.5,107,66.9,40,24.4,38.2,31.6,19.3,22.9
28,183.75,67.75,38,106.8,89.6,102.4,64.2,38.7,22.9,37.2,30.5,18.5,16
33,211.75,73.5,40,106.2,100.5,109,65.8,40.6,24,37.1,30.1,18.2,16.5
28,179,68,39.1,103.3,95.9,104.9,63.5,38,22.1,32.5,30.3,18.4,19.1
28,200.5,69.75,41.3,111.4,98.8,104.8,63.4,40.6,24.6,33,32.8,19.9,15.2
31,140.25,68.25,33.9,86,76.4,94.6,57.4,35.3,22.2,27.9,25.9,16.7,15.6
32,148.75,70,35.5,86.7,80,93.4,54.9,36.2,22.1,29.8,26.7,17.1,17.7
28,151.25,67.75,34.5,90.2,76.3,95.8,58.4,35.5,22.9,31.1,28,17.6,14
27,159.25,71.5,35.7,89.6,79.7,96.5,55,36.7,22.5,29.9,28.2,17.7,3.7
34,131.5,67.5,36.2,88.6,74.6,85.3,51.7,34.7,21.4,28.7,27,16.5,7.9
31,148,67.5,38.8,97.4,88.7,94.7,57.5,36,21,29.2,26.6,17,22.9
27,133.25,64.75,36.4,93.5,73.9,88.5,50.1,34.5,21.3,30.5,27.9,17.2,3.7
29,160.75,69,36.7,97.4,83.5,98.7,58.9,35.3,22.6,30.1,26.7,17.6,8.8
